,iter,drug,tissue,model,penalty,preproc,J,p,balance_weights,feature,feat_dim,network_weight,connectivity,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
82,1,Atezo,BLCA,LR,0.05,standardize,3,4,False,DE,210,weighted,tight,0.8266666666666667,7,55,3,10,0.8935091277890467,0.1098527306558524,0.34085259938615337
83,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,DE,210,weighted,tight,0.84,7,56,2,10,0.8864097363083164,0.11263352329985106,0.3662061473669404
84,0,Atezo,BLCA,LR,0.46,robust,3,4,True,WM_Robust,12,weighted,tight,0.52,14,25,33,3,0.6044624746450304,0.23971374179766178,0.6626499494161885
85,1,Atezo,BLCA,LR,0.9400000000000001,robust,3,4,True,WM_Robust,12,weighted,tight,0.32,17,7,51,0,0.5162271805273835,0.2862449914109411,0.9635115124961965
86,2,Atezo,BLCA,LR,0.66,robust,3,4,True,WM_Robust,12,weighted,tight,0.44,14,19,39,3,0.513184584178499,0.24745837888142005,0.6787503098206986
87,0,Atezo,BLCA,LR,0.07,standardize,3,4,True,WM_Robust,12,weighted,tight,0.48,16,20,38,1,0.665314401622718,0.2386823305523128,0.6668873146991069
88,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM_Robust,12,weighted,tight,0.4266666666666667,15,17,41,2,0.49797160243407707,0.24552873351507423,0.6812240616773829
89,2,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM_Robust,12,weighted,tight,0.4666666666666667,17,18,40,0,0.7363083164300203,0.24233297701114254,0.6761998745752769
90,0,Atezo,BLCA,LR,0.02,robust,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5588235294117647,0.17771676654185,0.5450144451390225
91,1,Atezo,BLCA,LR,0.05,robust,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.4837728194726167,0.18502109772044775,1.0119709908704295
92,2,Atezo,BLCA,LR,0.01,robust,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5709939148073022,0.17558373586469717,0.9699669398365675
93,0,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.614604462474645,0.17372509039608433,0.529730569892547
94,1,Atezo,BLCA,LR,0.02,standardize,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6186612576064909,0.17303335774800124,0.5271512991049186
95,2,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM_Robust,12,weighted,tight,0.7733333333333333,0,58,0,17,0.7271805273833671,0.17310361714872705,0.5275970221422227
96,0,Atezo,BLCA,LR,0.05,robust,3,4,True,WM_Standard,12,weighted,tight,0.4666666666666667,12,23,35,5,0.5446247464503042,0.25017605635484447,0.6922804096735213
97,1,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Standard,12,weighted,tight,0.37333333333333335,16,12,46,1,0.691683569979716,0.24278554277377562,0.6727354747504907
98,2,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Standard,12,weighted,tight,0.4666666666666667,15,20,38,2,0.6643002028397565,0.2374216981581924,0.6641528088020947
99,0,Atezo,BLCA,LR,0.11,standardize,3,4,True,WM_Standard,12,weighted,tight,0.44,10,23,35,7,0.5476673427991887,0.24950434279158368,0.6903521784780731
100,1,Atezo,BLCA,LR,0.01,standardize,3,4,True,WM_Standard,12,weighted,tight,0.4,9,21,37,8,0.486815415821501,0.23755406675826554,0.6598301109068401
101,2,Atezo,BLCA,LR,0.27,standardize,3,4,True,WM_Standard,12,weighted,tight,0.4666666666666667,11,24,34,6,0.5628803245436105,0.2508048777096007,0.6921186164298586
102,0,Atezo,BLCA,LR,0.06,robust,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.4503042596348884,0.1774120494493017,0.5394047712447146
103,1,Atezo,BLCA,LR,0.06,robust,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.4503042596348884,0.18155516350401957,0.5583335693180151
104,2,Atezo,BLCA,LR,0.07,robust,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5882352941176471,0.17683774913176,0.5527677171958235
105,0,Atezo,BLCA,LR,0.91,standardize,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5679513184584178,0.17690471663576326,0.5420453087441928
106,1,Atezo,BLCA,LR,0.01,standardize,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6338742393509128,0.17080948654864472,0.5202323230288969
107,2,Atezo,BLCA,LR,0.12,standardize,3,4,False,WM_Standard,12,weighted,tight,0.7733333333333333,0,58,0,17,0.5993914807302232,0.17396019268601362,0.5326626078128625
108,0,Atezo,BLCA,LR,0.01,robust,3,4,True,WM_Center,12,weighted,tight,0.38666666666666666,12,17,41,5,0.5365111561866126,0.270694253548214,0.737397104404098
109,1,Atezo,BLCA,LR,0.07,robust,3,4,True,WM_Center,12,weighted,tight,0.4,16,14,44,1,0.7150101419878296,0.24838107860646697,0.6861981869945275
110,2,Atezo,BLCA,LR,0.03,robust,3,4,True,WM_Center,12,weighted,tight,0.36,15,12,46,2,0.6308316430020284,0.2506421648251125,0.688763896527494
111,0,Atezo,BLCA,LR,0.02,standardize,3,4,True,WM_Center,12,weighted,tight,0.5733333333333334,12,31,27,5,0.6713995943204869,0.2307531632764229,0.6490360255634883
112,1,Atezo,BLCA,LR,0.33,standardize,3,4,True,WM_Center,12,weighted,tight,0.41333333333333333,10,21,37,7,0.44726166328600403,0.27211718961252873,0.7366499955144459
113,2,Atezo,BLCA,LR,0.91,standardize,3,4,True,WM_Center,12,weighted,tight,0.49333333333333335,11,26,32,6,0.5354969574036511,0.2481938576938161,0.6868501083693995
114,0,Atezo,BLCA,LR,0.02,robust,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.3752535496957404,0.19272427419329902,0.5965855768011278
115,1,Atezo,BLCA,LR,0.01,robust,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.676470588235294,0.16902482847223116,0.5132820521379471
116,2,Atezo,BLCA,LR,0.54,robust,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6257606490872211,0.1685117948085509,0.5071747220103753
117,0,Atezo,BLCA,LR,0.9500000000000001,standardize,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.7302231237322516,0.1686422664308778,0.5156618841598198
118,1,Atezo,BLCA,LR,0.46,standardize,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6764705882352942,0.16879579019811997,0.5136390510351728
119,2,Atezo,BLCA,LR,0.2,standardize,3,4,False,WM_Center,12,weighted,tight,0.7733333333333333,0,58,0,17,0.6805273833671399,0.16739463017788261,0.5102689372789503
120,0,Atezo,KIRC,LR,0.01,robust,3,4,True,WM,12,weighted,tight,0.40476190476190477,12,5,25,0,0.6777777777777778,0.2425158465462062,0.6751629419909063
121,1,Atezo,KIRC,LR,0.12,robust,3,4,True,WM,12,weighted,tight,0.4523809523809524,10,9,21,2,0.5,0.24806576289383578,0.6835561266247955
122,2,Atezo,KIRC,LR,0.07,robust,3,4,True,WM,12,weighted,tight,0.38095238095238093,8,8,22,4,0.475,0.2553636575292767,0.696463577790429
123,0,Atezo,KIRC,LR,0.02,standardize,3,4,True,WM,12,weighted,tight,0.5,10,11,19,2,0.5972222222222222,0.23656343674378133,0.6614225302230573
124,1,Atezo,KIRC,LR,0.31,standardize,3,4,True,WM,12,weighted,tight,0.40476190476190477,9,8,22,3,0.5416666666666667,0.24545043849641682,0.6734376508280678
125,2,Atezo,KIRC,LR,0.36,standardize,3,4,True,WM,12,weighted,tight,0.5476190476190477,9,14,16,3,0.6166666666666667,0.2399792669143174,0.6637562253453659
126,0,Atezo,KIRC,LR,0.01,robust,3,4,False,WM,12,weighted,tight,0.7142857142857143,0,30,0,12,0.6972222222222222,0.19578462374593567,0.5702536732654545
