"","Gene","Ranksum","Rankcount","thresh","thresh.val","total.iter"
"2946","CDH7",11602,44,"easy",0.05,200
"2947","COL6A5",16034,77,"easy",0.05,200
"2948","FXYD4",1056,4,"easy",0.05,200
"2949","UGT1A7",9363,44,"easy",0.05,200
"2950","HAND2",10901,200,"easy",0.05,200
"2951","MYLK2",21412,74,"easy",0.05,200
"2952","VWA3A",4610,17,"easy",0.05,200
"2953","ANO7",610,2,"easy",0.05,200
"2954","XCL1",22159,87,"easy",0.05,200
"2955","NECTIN1",21652,82,"easy",0.05,200
"2956","GVQW3",8725,21,"easy",0.05,200
"2957","ANGPTL3",2871,15,"easy",0.05,200
"2958","KIRREL3",892,4,"easy",0.05,200
"2959","CNTNAP2",497,1,"easy",0.05,200
"2960","ATP8B1",6748,21,"easy",0.05,200
"2961","SLAMF8",16052,49,"easy",0.05,200
"2962","NQO1",12277,53,"easy",0.05,200
"2963","MAK",24719,91,"easy",0.05,200
"2964","PCGF5",251,1,"easy",0.05,200
"2965","DNAJA4",8540,25,"easy",0.05,200
"2966","CLCN1",19355,69,"easy",0.05,200
"2967","KCNJ1",2300,17,"easy",0.05,200
"2968","PCDH15",282,1,"easy",0.05,200
"2969","TPTE2",261,1,"easy",0.05,200
"2970","SULT2A1",16781,68,"easy",0.05,200
"2971","FAM126A",650,1,"easy",0.05,200
"2972","CT45A10",1272,4,"easy",0.05,200
"2973","CREB3L3",329,2,"easy",0.05,200
"2974","EGR1",24156,118,"easy",0.05,200
"2975","CNTRL",4937,13,"easy",0.05,200
"2976","AKR1C2",21704,101,"easy",0.05,200
"2977","PAH",273,1,"easy",0.05,200
"2978","PMEL",11249,34,"easy",0.05,200
"2979","TRIM14",1857,5,"easy",0.05,200
"2980","PSCA",3430,16,"easy",0.05,200
"2981","RAB26",1391,4,"easy",0.05,200
"2982","CALY",709,3,"easy",0.05,200
"2983","CSMD3",7075,49,"easy",0.05,200
"2984","SYN3",1551,4,"easy",0.05,200
"2985","ITLN2",4459,11,"easy",0.05,200
"2986","CHI3L1",4926,28,"easy",0.05,200
"2987","HERPUD1",1213,3,"easy",0.05,200
"2988","CT45A5",261,2,"easy",0.05,200
"2989","SERPIND1",19318,133,"easy",0.05,200
"2990","C1orf158",3752,11,"easy",0.05,200
"2991","LRRN4CL",6342,24,"easy",0.05,200
"2992","CD209",224,1,"easy",0.05,200
"2993","SAMD9L",3038,6,"easy",0.05,200
"2994","TMC3",7615,44,"easy",0.05,200
"2995","C3orf70",1023,2,"easy",0.05,200
"2996","BPIFB4",348,1,"easy",0.05,200
"2997","GC",15825,81,"easy",0.05,200
"2998","IHH",258,1,"easy",0.05,200
"2999","PLP2",389,1,"easy",0.05,200
"3000","GBP5",481,1,"easy",0.05,200
"3001","SLC38A3",7949,31,"easy",0.05,200
"3002","ARHGAP9",1373,3,"easy",0.05,200
"3003","MGST3",418,1,"easy",0.05,200
"3004","CCDC17",9704,25,"easy",0.05,200
"3005","C8B",17363,157,"easy",0.05,200
"3006","TNS4",4520,15,"easy",0.05,200
"3007","SLC5A6",2203,5,"easy",0.05,200
"3008","CLSTN2",2981,15,"easy",0.05,200
"3009","PIK3IP1",1113,2,"easy",0.05,200
"3010","OR52N4",433,1,"easy",0.05,200
"3011","RBM4B",304,1,"easy",0.05,200
"3012","FABP5",6738,23,"easy",0.05,200
"3013","DCAF13",1037,3,"easy",0.05,200
"3014","GZMH",730,2,"easy",0.05,200
"3015","CHPT1",396,1,"easy",0.05,200
"3016","MPIG6B",354,1,"easy",0.05,200
"3017","VAMP5",4229,11,"easy",0.05,200
"3018","THAP12",22630,79,"easy",0.05,200
"3019","NECAB1",737,2,"easy",0.05,200
"3020","DEF6",4360,10,"easy",0.05,200
"3021","ADAMTS2",480,1,"easy",0.05,200
"3022","POU2AF1",5906,23,"easy",0.05,200
"3023","TAAR8",240,1,"easy",0.05,200
"3024","TMEM132C",294,1,"easy",0.05,200
"3025","LY6K",3512,21,"easy",0.05,200
"3026","C7",513,1,"easy",0.05,200
"3027","NOG",1599,4,"easy",0.05,200
"3028","C19orf48",222,1,"easy",0.05,200
"3029","PALM",879,3,"easy",0.05,200
"3030","DIO1",3016,9,"easy",0.05,200
"3031","FABP12",1397,3,"easy",0.05,200
"3032","EFR3B",1842,4,"easy",0.05,200
"3033","SPDYE1",189,1,"easy",0.05,200
"3034","KIR2DL4",23334,86,"easy",0.05,200
"3035","CALN1",5047,15,"easy",0.05,200
"3036","IGF2",4959,17,"easy",0.05,200
"3037","SCN4A",11911,35,"easy",0.05,200
"3038","CCDC88C",401,1,"easy",0.05,200
"3039","PXDNL",356,1,"easy",0.05,200
"3040","IL34",1043,2,"easy",0.05,200
"3041","HAUS4",701,2,"easy",0.05,200
"3042","SFTPB",5016,41,"easy",0.05,200
"3043","LAG3",8373,22,"easy",0.05,200
"3044","CCR3",18096,58,"easy",0.05,200
"3045","HCAR3",13304,132,"easy",0.05,200
"3046","CCDC69",701,2,"easy",0.05,200
"3047","IGKV1-33",2901,12,"easy",0.05,200
"3048","CTSW",16485,50,"easy",0.05,200
"3049","CES1",15012,56,"easy",0.05,200
"3050","DCLK3",15974,50,"easy",0.05,200
"3051","IYD",329,1,"easy",0.05,200
"3052","UGT1A9",3195,10,"easy",0.05,200
"3053","BEND6",11111,34,"easy",0.05,200
"3054","C4BPA",20935,103,"easy",0.05,200
"3055","IGKV2D-29",4063,11,"easy",0.05,200
"3056","KCNH5",1793,4,"easy",0.05,200
"3057","TRIM4",574,2,"easy",0.05,200
"3058","SH3GL2",2374,7,"easy",0.05,200
"3059","CRISPLD1",511,1,"easy",0.05,200
"3060","DIXDC1",346,1,"easy",0.05,200
"3061","SPRED3",196,1,"easy",0.05,200
"3062","CFAP74",3103,9,"easy",0.05,200
"3063","CEMIP",7784,28,"easy",0.05,200
"3064","TYRP1",1538,8,"easy",0.05,200
"3065","GRM3",1044,3,"easy",0.05,200
"3066","PTPRR",17925,89,"easy",0.05,200
"3067","TAF5L",437,1,"easy",0.05,200
"3068","GAS2",1117,4,"easy",0.05,200
"3069","MAMSTR",1405,3,"easy",0.05,200
"3070","CCDC175",1286,3,"easy",0.05,200
"3071","CNTNAP5",279,1,"easy",0.05,200
"3072","CYP2B6",4367,15,"easy",0.05,200
"3073","PLA1A",566,1,"easy",0.05,200
"3074","TLCD3B",342,1,"easy",0.05,200
"3075","PLIN5",3329,10,"easy",0.05,200
"3076","DSC1",23472,94,"easy",0.05,200
"3077","TMEM249",1811,5,"easy",0.05,200
"3078","SPATA45",470,1,"easy",0.05,200
"3079","CACNA2D2",17000,102,"easy",0.05,200
"3080","HAP1",546,1,"easy",0.05,200
"3081","MRTFB",908,2,"easy",0.05,200
"3082","SPRYD3",512,1,"easy",0.05,200
"3083","TENT5C",1830,5,"easy",0.05,200
"3084","BCAR1",3656,9,"easy",0.05,200
"3085","SYT7",4810,18,"easy",0.05,200
