geneID	string_protein_id	propagate_scores
GAPDH	9606.ENSP00000380070	0.0005081468306648379
EOMES	9606.ENSP00000388620	0.0005071034301982423
PIK3CD	9606.ENSP00000366563	0.0005062963189388952
IFNA2	9606.ENSP00000369554	0.0005048940649545454
BCL6	9606.ENSP00000384371	0.0005019828653419949
GNLY	9606.ENSP00000436423	0.0005010610756286296
MAPK3	9606.ENSP00000263025	0.0005009604487937696
KIR2DL1	9606.ENSP00000336769	0.0005007732362907325
CCRL2	9606.ENSP00000349967	0.0004976112355760362
TRAF3	9606.ENSP00000376500	0.0004971449154708087
PIK3R3	9606.ENSP00000262741	0.0004968302703401231
KRAS	9606.ENSP00000256078	0.0004954976135425607
GNB1	9606.ENSP00000367872	0.00048704121557286334
CASP3	9606.ENSP00000311032	0.00048701208557008774
STAT6	9606.ENSP00000300134	0.0004868904123621896
CD1D	9606.ENSP00000501245	0.0004862916009073861
CD36	9606.ENSP00000415743	0.0004800370365557062
LILRB1	9606.ENSP00000315997	0.00047870293055947915
IL21R	9606.ENSP00000338010	0.00047638190849528346
SDC1	9606.ENSP00000370542	0.000474914855162012
CXCR1	9606.ENSP00000295683	0.00047226574345906924
LTA	9606.ENSP00000403495	0.00047054841504565414
CCR9	9606.ENSP00000350256	0.0004702375651710192
CXCL2	9606.ENSP00000427279	0.0004686523049609192
CCR8	9606.ENSP00000326432	0.00046764894002277845
RUNX1	9606.ENSP00000300305	0.00046716144360752307
RHOA	9606.ENSP00000400175	0.0004651282850515308
FAS	9606.ENSP00000498466	0.00046396189378427623
PLCG2	9606.ENSP00000482457	0.0004639303742274171
KDR	9606.ENSP00000263923	0.00046290290148561273
TSLP	9606.ENSP00000339804	0.0004621222370773691
CD7	9606.ENSP00000312027	0.0004617553799855428
CBL	9606.ENSP00000264033	0.00046020549046590497
KIR3DL1	9606.ENSP00000375608	0.00045947452950081773
CD96	9606.ENSP00000283285	0.0004584183661627426
IL12RB1	9606.ENSP00000470788	0.00045597425755619544
CDH1	9606.ENSP00000261769	0.00045372997739610843
TRAT1	9606.ENSP00000295756	0.0004536204786346981
VCAM1	9606.ENSP00000294728	0.00045284880375172777
IFNGR1	9606.ENSP00000356713	0.00045204818369601676
CCL21	9606.ENSP00000259607	0.000451986367927553
MS4A1	9606.ENSP00000433277	0.00044745653089221874
ALK	9606.ENSP00000373700	0.00044065952508804047
GRAP2	9606.ENSP00000339186	0.00044004841100554737
FCGR2A	9606.ENSP00000271450	0.00043963601642543846
HSP90AB1	9606.ENSP00000360609	0.0004377115835425844
HCST	9606.ENSP00000246551	0.0004375036962838515
TNFSF14	9606.ENSP00000469049	0.00043676312846201127
CXCL5	9606.ENSP00000296027	0.0004363035217181814
