,iter,drug,tissue,max_moment,sparsity,weighting,geneset,model,max_scale,edge_weights,acc,bal_acc,roc_auc
69,4,Ipi,ALL,3,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
70,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,4,raw,0.625,0.75,-1
71,4,Ipi,ALL,3,sparse,weighted,auslander,LR,4,raw,0.5,0.5,-1
72,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,4,raw,0.75,0.5,-1
73,4,Ipi,ALL,4,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
74,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,4,raw,0.625,0.75,-1
75,4,Ipi,ALL,4,sparse,weighted,auslander,LR,4,raw,0.625,0.75,-1
76,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,4,raw,0.75,0.5,-1
77,4,Ipi,ALL,5,sparse,weighted,auslander,LR,4,raw,0.625,0.4166666666666667,-1
78,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,4,raw,0.625,0.75,-1
79,4,Ipi,ALL,5,sparse,weighted,auslander,LR,4,raw,0.625,0.75,-1
80,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,5,raw,0.625,0.4166666666666667,-1
81,4,Ipi,ALL,1,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
82,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,5,raw,0.625,0.4166666666666667,-1
83,4,Ipi,ALL,1,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
84,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,5,raw,0.5,0.5,-1
85,4,Ipi,ALL,2,sparse,weighted,auslander,LR,5,raw,0.625,0.5833333333333333,-1
86,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,5,raw,0.875,0.75,-1
87,4,Ipi,ALL,2,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
88,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,5,raw,0.75,0.5,-1
89,4,Ipi,ALL,3,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
90,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,5,raw,0.75,0.8333333333333333,-1
91,4,Ipi,ALL,3,sparse,weighted,auslander,LR,5,raw,0.5,0.5,-1
92,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,5,raw,0.75,0.5,-1
93,4,Ipi,ALL,4,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
94,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,5,raw,0.75,0.8333333333333333,-1
95,4,Ipi,ALL,4,sparse,weighted,auslander,LR,5,raw,0.625,0.75,-1
96,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,5,raw,0.75,0.5,-1
97,4,Ipi,ALL,5,sparse,weighted,auslander,LR,5,raw,0.625,0.4166666666666667,-1
98,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,5,raw,0.75,0.8333333333333333,-1
99,4,Ipi,ALL,5,sparse,weighted,auslander,LR,5,raw,0.75,0.8333333333333333,-1
100,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,1,normalized,0.375,0.25,-1
101,4,Ipi,ALL,1,sparse,weighted,auslander,LR,1,normalized,0.375,0.25,-1
102,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,1,normalized,0.375,0.25,-1
103,4,Ipi,ALL,1,sparse,weighted,auslander,LR,1,normalized,0.375,0.25,-1
104,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,1,normalized,0.5,0.5,-1
105,4,Ipi,ALL,2,sparse,weighted,auslander,LR,1,normalized,0.5,0.5,-1
106,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,1,normalized,0.375,0.25,-1
107,4,Ipi,ALL,2,sparse,weighted,auslander,LR,1,normalized,0.375,0.25,-1
108,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,1,normalized,0.625,0.4166666666666667,-1
109,4,Ipi,ALL,3,sparse,weighted,auslander,LR,1,normalized,0.5,0.3333333333333333,-1
110,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,1,normalized,0.375,0.5833333333333334,-1
111,4,Ipi,ALL,3,sparse,weighted,auslander,LR,1,normalized,0.25,0.3333333333333333,-1
112,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,1,normalized,0.875,0.75,-1
113,4,Ipi,ALL,4,sparse,weighted,auslander,LR,1,normalized,0.625,0.4166666666666667,-1
114,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,1,normalized,0.5,0.6666666666666666,-1
115,4,Ipi,ALL,4,sparse,weighted,auslander,LR,1,normalized,0.375,0.5833333333333334,-1
116,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,1,normalized,0.875,0.75,-1
117,4,Ipi,ALL,5,sparse,weighted,auslander,LR,1,normalized,0.625,0.4166666666666667,-1
118,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,1,normalized,0.5,0.6666666666666666,-1
119,4,Ipi,ALL,5,sparse,weighted,auslander,LR,1,normalized,0.375,0.5833333333333334,-1
120,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,2,normalized,0.375,0.25,-1
121,4,Ipi,ALL,1,sparse,weighted,auslander,LR,2,normalized,0.375,0.25,-1
122,4,Ipi,ALL,1,sparse,weighted,auslander,SVC,2,normalized,0.375,0.25,-1
123,4,Ipi,ALL,1,sparse,weighted,auslander,LR,2,normalized,0.375,0.25,-1
124,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,2,normalized,0.5,0.5,-1
125,4,Ipi,ALL,2,sparse,weighted,auslander,LR,2,normalized,0.5,0.5,-1
126,4,Ipi,ALL,2,sparse,weighted,auslander,SVC,2,normalized,0.375,0.25,-1
127,4,Ipi,ALL,2,sparse,weighted,auslander,LR,2,normalized,0.375,0.25,-1
128,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,2,normalized,0.75,0.6666666666666667,-1
129,4,Ipi,ALL,3,sparse,weighted,auslander,LR,2,normalized,0.625,0.4166666666666667,-1
130,4,Ipi,ALL,3,sparse,weighted,auslander,SVC,2,normalized,0.375,0.5833333333333334,-1
131,4,Ipi,ALL,3,sparse,weighted,auslander,LR,2,normalized,0.25,0.3333333333333333,-1
132,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,2,normalized,0.875,0.9166666666666667,-1
133,4,Ipi,ALL,4,sparse,weighted,auslander,LR,2,normalized,0.625,0.4166666666666667,-1
134,4,Ipi,ALL,4,sparse,weighted,auslander,SVC,2,normalized,0.5,0.6666666666666666,-1
135,4,Ipi,ALL,4,sparse,weighted,auslander,LR,2,normalized,0.375,0.5833333333333334,-1
136,4,Ipi,ALL,5,sparse,weighted,auslander,SVC,2,normalized,0.75,0.6666666666666667,-1
