,iter,drug,tissue,model,feature,BIC,train_size,acc,tp,tn,fp,fn,roc_auc,brier,log_loss
24,24,Atezo,BLCA,LR,IMPRES,2.0005851358735023,0.1,0.6394052044609665,19,153,55,42,0.5588351197982346,0.24583127261753177,0.6848008180064283
25,25,Atezo,BLCA,LR,IMPRES,2.007490464305642,0.1,0.6468401486988847,20,154,54,41,0.5526087641866331,0.2470871171522377,0.6873148789664343
26,26,Atezo,BLCA,LR,IMPRES,1.9935341946697962,0.1,0.45724907063197023,40,83,125,21,0.5617118537200505,0.24844927068919995,0.6900443512491158
27,27,Atezo,BLCA,LR,IMPRES,1.9817878353783474,0.1,0.5315985130111525,20,123,85,41,0.40916614123581335,0.2501929626265251,0.693533121320398
28,28,Atezo,BLCA,LR,IMPRES,1.9842804890260493,0.1,0.3345724907063197,39,51,157,22,0.41397383354350564,0.2521438599797772,0.6974359694877297
29,29,Atezo,BLCA,LR,IMPRES,1.9829553972375462,0.1,0.4646840148698885,41,84,124,20,0.5737310844892812,0.2500645210321844,0.6932762106728104
30,30,Atezo,BLCA,LR,IMPRES,1.9879572193030062,0.1,0.516728624535316,19,120,88,42,0.4023486759142497,0.2514794251790906,0.6961071087578239
31,31,Atezo,BLCA,LR,IMPRES,1.9910107673418627,0.1,0.6505576208178439,22,153,55,39,0.5638792559899117,0.2481973612304026,0.689540474356249
32,32,Atezo,BLCA,LR,IMPRES,1.982111089548224,0.1,0.4758364312267658,43,85,123,18,0.5837011349306431,0.25015967283928003,0.6934665303435139
33,33,Atezo,BLCA,LR,IMPRES,1.9869032038842878,0.1,0.4721189591078067,41,86,122,20,0.5729035308953342,0.24978289869968578,0.6927128876530179
34,34,Atezo,BLCA,LR,IMPRES,1.9816869860176014,0.1,0.6654275092936803,21,158,50,40,0.5742433795712485,0.24891545483533573,0.6909779942846105
35,35,Atezo,BLCA,LR,IMPRES,1.9842688854645318,0.1,0.4684014869888476,41,85,123,20,0.5716030895334174,0.2498205897419754,0.6927882315271783
36,36,Atezo,BLCA,LR,IMPRES,1.9811611187336098,0.1,0.6505576208178439,21,154,54,40,0.5791692938209332,0.24963939070475527,0.6924259535143087
37,37,Atezo,BLCA,LR,IMPRES,1.9909145789396971,0.1,0.46096654275092935,39,85,123,22,0.5649826607818411,0.24836715529823536,0.6898797748805376
38,38,Atezo,BLCA,LR,IMPRES,1.9968629707286945,0.1,0.5092936802973977,19,118,90,42,0.39679224464060525,0.2515503648750537,0.696250936748292
